m,y,locality,seg_phos,seg_psize,seg_pet,seg_mat,seg_decs,US_RockPhos,USCalcium,native.bio,exotic.bio
2.0,2009,Wairau Stream,5.0,1.0,1122.51,140.12,2353.33,5.0,2.0,4,0
4.0,2009,Katikara Stream,5.0,1.0,1097.72,139.5,2350.87,5.0,2.0,4,1
4.0,2009,Katikara Stream,5.0,1.0,1045.24,132.69,2345.46,5.0,2.0,3,0
4.0,2009,Katikara Stream,4.8,1.78,801.73,101.67,2324.58,4.812,2.0,2,0
4.0,2009,Stony River tributary,4.59,2.6,701.51,90.73,2315.51,4.598,2.0,3,0
1.0,2008,Unnamed stream Kenepuru Head,2.0,3.0,1111.28,124.9,2357.78,2.015,1.0,2,0
1.0,2008,Unnamed stream Kenepuru Head,2.05,3.05,1129.95,125.58,2360.38,2.36,1.0,2,0
1.0,2008,Unnamed stream Kenepuru Head,2.77,3.77,1022.33,115.08,2351.47,2.711,1.0,1,0
1.0,2008,Unnamed stream Kenepuru Head,2.42,3.42,1060.82,121.55,2349.49,2.721,1.021,4,0
1.0,2008,Unnamed stream Kenepuru Head,2.83,3.83,941.61,109.84,2338.93,2.716,1.0,0,0
1.0,2008,Unnamed stream Kenepuru Head,2.55,3.55,1056.62,121.0,2351.14,2.585,1.0,3,0
1.0,2008,Unnamed stream Elie Bay,2.57,3.57,1074.87,122.61,2352.94,2.864,1.0,4,0
1.0,2008,Unnamed stream Elie Bay,2.94,3.94,1064.96,122.18,2353.74,2.826,1.0,3,1
1.0,2008,Unnamed stream Elie Bay,3.0,4.0,1064.45,121.13,2351.8,3.0,1.0,4,0
1.0,2008,Unnamed stream Elie Bay,3.0,4.0,1026.05,117.1,2348.41,3.0,1.0,0,0
1.0,2008,Unnamed stream Elie Bay,3.0,4.0,1010.69,114.95,2347.57,3.0,1.0,3,0
1.0,2008,Unnamed stream Hopai Bay,2.0,3.0,1088.96,125.34,2353.1,2.047,1.0,3,0
1.0,2008,Unnamed stream Hopai Bay,2.73,3.73,1048.74,120.37,2346.78,2.793,1.0,2,0
1.0,2008,Opawa River tributary,4.0,2.48,1282.32,126.0,2395.64,4.0,2.0,4,1
8.0,2008,Kaimiko Stream,3.0,4.0,1057.22,122.68,2364.04,3.0,1.0,6,0
3.0,2008,Waima River tributary,3.16,2.08,1595.49,119.95,2420.0,3.0,1.0,0,0
3.0,2008,Taylor River tributary,4.0,1.05,1304.35,126.0,2397.68,4.0,2.0,3,0
3.0,2008,Rainbow River,3.68,2.76,1099.52,80.93,2362.91,3.514,1.663,1,0
5.0,2008,Dunsandal Creek,3.19,3.91,1591.73,117.36,2416.61,3.076,1.038,0,0
5.0,2008,Taylor River tributary,4.0,1.44,1293.11,126.0,2396.17,4.0,2.0,2,0
7.0,2008,Unnamed Stream Endeavour Inlet,3.0,4.0,941.3,111.61,2326.43,3.0,1.0,2,0
7.0,2008,Unnamed Stream Endeavour Inlet,3.0,4.0,941.3,111.61,2326.43,3.0,1.0,4,0
8.0,2008,Castor Stream,3.0,4.0,1078.26,124.72,2366.5,3.0,1.0,2,0
8.0,2008,Ruataniwha Stream,3.0,4.0,1067.46,124.44,2363.8,3.0,1.0,2,0
9.0,2008,Lake Waiparera,1.0,1.57,1170.0,158.0,2357.0,1.0,1.433,0,0
9.0,2008,Lake Waiparera,1.0,1.57,1170.0,158.0,2357.0,1.0,1.433,0,0
9.0,2009,Lake Waiparera wetland,1.0,1.57,1170.0,158.0,2357.0,1.0,1.433,0,0
9.0,2009,Lake Waiparera wetland,1.0,1.57,1170.0,158.0,2357.0,1.0,1.433,0,0
3.0,2008,East Hawdon Stream,3.0,4.0,1025.0,84.0,0.0,3.0,1.0,1,0
1.0,2008,Lillburn River,3.42,3.58,1106.4,91.32,2310.4,3.261,1.261,1,0
9.0,2008,Mounseys Stream tributary,4.0,3.0,1176.89,105.0,2302.0,3.476,2.0,2,0
2.0,2009,Ashley River tributary,4.0,3.0,1203.1,110.0,2308.06,4.0,2.0,0,0
2.0,2009,Ashley River tributary,4.0,3.0,1198.18,110.0,2307.72,4.0,2.0,0,0
