y,locality,seg_phos,seg_psize,seg_pet,seg_mat,seg_decs,US_RockPhos,USCalcium,native.bio,exotic.bio,fdval
2011,Wairarapa Stream,4,1,1132.8,117,2286.98,4,2,0,1,213.3565
2011,York Stream,1.045,2.98,1152.54,119.65,2392.665,1.024,1.241,1,0,342.7815
2011,Mata Creek,3.92,2.04,1088.49,85.04,2282.52,3.426,1.104,1,0,537.1802
2011,Lauder Creek,3,2,1139.38,91.58,2295.41,3,2.177,2,0,219.9131
2011,Unnamed tributary of Manuherikia River,3,2.03,1137.07,94,2300.65,3,2.292,0,1,525.0429
2011,Unnamed stream at Home Hills Run Road,4,1,1046.54,80.42,2269.73,3.173,1.21,0,1,2127.4005
2011,Shepherds Creek,3,3.92,1103.67,86.73,2288.85,3,1.822,0,1,95.6446
2011,Becks Creek,3.55,2.235,1128.89,90.75,2292.015,3.2135,1.7955,1,1,1046.5627
2011,Chatto Creek,3.36,3.48,1141.92,97.93,2305.41,3.16,2.093,1,2,462.1511
2011,Millers Creek,3,2.56,1136.13,91.09,2294.98,3,2.101,1,2,2150.8024
2011,Pleasant Valley Creek,3.61,2.36,1109.08,87.76,2288.89,3.221,1.518,1,1,178.1133
2011,Cambrian Creek,3.14,3.96,1113.14,87.96,2290.33,3.012,1.781,0,1,180.7738
2011,Young Hill Creek,3.42,3,1139.93,97.36,2306.44,3.14,2,0,1,266.7248
2011,Pinelheugh Creek,3,1,933.795,76.435,2225.85,3,2,0,0.5,54.7545
2011,Pinelheugh Creek Unnamed Tributary,3,1,916,73.53,2224.85,3,2,0,0,0.001
2011,Sandstone Creek,3,3.8686,938.5743,85.0214,2204.6029,3,1.083,0.5714,0,0.001
2011,Dillon River Tributary,3,4,1139.42,70.89,2382.09,3,1,2,0,323.3537
2011,Dillon River,3.33,3.67,1151.355,71.72,2383.515,3.3375,1,1,0,438.6219
2011,Half Moon Stream,3.16,3.84,1128.425,69.03,2380.505,3.0637,1.0638,1.25,0,624.8528
2011,Guide River Tributary,3.08,3.92,1147.34,72.53,2380.79,3.057,1.001,1,0,238.7394
2011,Unnamed creek - Merton,3.62,1.62,1010.25,103.77,2162.54,3.602,1.398,1,1,1155.9056
2011,Unnamed Tributary - Ettrick,3,2.8,999.81,97.11,2211.71,3,2,1,1,314.4799
2011,Burnt Creek,3,4,808.61,75.56,2163.52,3,2,1,0.5,1784.7513
2011,Deep Stream Tributary,3,4,705.18,60.75,2160.91,3,2,0,0,65.6466
2011,Devils Creek,3,4,708.965,61.575,2159.925,3,2,0,0,151.976
2011,Deep Stream,3,4,672.8114,56.35,2161.21,3,2,0,0,268.3982
2011,Below old dam,3,4,699.79,60.98,2158.7,3,2,0,0,106.4943
